FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Ki Sung-yueng,MID,SWA,5000000,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,12,0,0,0,Huddersfield,Leicester,Arsenal,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kiko Femenia,DEF,WAT,4500000,1,31,5.2,1.15555555555556E-06,6.88888888888889E-06,0,82707,0,6,0,0,0,0,0,6.9,13642,0,0,31,0,0.8,0,3.5,6,0,3,0,1,4.9,296053,0,0,0,1,493,6591,0,0,134,Arsenal,Chelsea,Stoke,Everton,West Ham,7,7.8,5.7,6.1,7,6.7,3.8,3.8,7.6,7.7,5.3,7.1,4.3,3.6,6,4.6,5.7,6.8,3.9,6.2,4.9,6,4.9,6.1,5.5,4.5,7.7,5.4,7.8,5.3,5.4,18.9
Andy,King,MID,LEI,4500000,1,11,0.523809523809524,1.16402116402116E-07,2.44444444444444E-06,0,63117,0,7,0,0,0,0,0,2.4,9061,0,-1,11,0,0.6,0,2.5,1,0,0,0,1,4.1,213895,0,0,0,0,300,11956,1,0,43,West Brom,Swansea,Everton,Stoke,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,9.8
Joshua,King,FWD,BOU,7200000,2,19,2.7,3.75E-07,2.63888888888889E-06,0,223669,0,10,0,0,0,1,0,2.6,5146,-3,0,19,3,0.5,0,3.3,1,0,1,0,0,2.1,40449,0,0,0,0,618,1961,0,0,64,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,2.2,2.2,1.8,1.6,2.3,2.3,2.2,2,3.1,1.4,3.5,1.5,3.6,3.6,1.8,3.7,1.4,1.9,3.6,1.7,2.8,1.8,1.6,2.9,2.6,3.7,1.6,2.3,2.2,1.9,1.9,42.8
Stephen,Kingsley,DEF,SWA,4500000,0,0,0,0,0,0,4862,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0.1,178,0,0,0,0,0,0,0,0,0,Huddersfield,Leicester,Arsenal,Brighton,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy,Klaassen,MID,EVE,7200000,0,4,0.19047619047619,2.64550264550265E-08,5.55555555555556E-07,0,74946,0,4,0,0,0,0,0,0.6,863,-3,0,4,3,0.1,0,0.5,0,0,0,0,0,0.4,4048,0,0,0,0,187,101,0,0,10,Brighton,Arsenal,Leicester,Watford,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.8
Ragnar,Klavan,DEF,LIV,4400000,0,9,0.428571428571429,9.74025974025974E-08,2.04545454545455E-06,0,17211,0,6,0,0,0,0,0,2,1031,-1,0,9,1,0.1,0,0.5,1,0,1,0,0,0.4,12403,0,0,0,0,270,191,0,0,68,Man Utd,Tottenham,Huddersfield,West Ham,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,8.6
Anthony,Knockaert,MID,BHA,5700000,1,12,0.571428571428571,1.00250626566416E-07,2.10526315789474E-06,0,68380,1,3,0,0,0,0,0,2.1,1917,-3,1,12,3,0.3,0,1.8,0,0,2,0,0,0.8,16028,0,0,0,0,381,202,-1,0,51,Everton,West Ham,Southampton,Swansea,Stoke,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.4
Aleksandar,Kolarov,DEF,MCI,5500000,0,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,4,0,0,0,Stoke,Burnley,West Brom,Arsenal,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead,Kolasinac,DEF,ARS,6000000,6,35,5.8,9.66666666666667E-07,5.83333333333333E-06,0,260868,1,4,0,0,0,0,0,5.8,15644,0,0,35,0,1.2,0,7,3,0,4,0,2,13.1,305134,0,0,0,0,515,10702,0,0,162,Watford,Everton,Swansea,Man City,Tottenham,5.8,2.9,7.6,2.9,7.8,4.3,8.7,7.8,5.2,2.9,8.7,8.7,4.1,3.6,7.9,3.2,8.7,4.7,8.7,5.4,7,3.3,8.2,2.9,8.7,8.4,3.2,8.7,2.9,8.5,4.1,31.6
